종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","69900","-300","-0.43","4.172878E8"
"373220","LG에너지솔루션","363500","0","0.00","8.5059E7"
"000660","SK하이닉스","114500","-1500","-1.29","8.3356271E7"
"035420","NAVER","334000","5000","1.52","5.4792394E7"
"207940","삼성바이오로직스","798000","-1000","-0.13","5.279967E7"
"035720","카카오","103500","0","0.00","4.617372E7"
"005380","현대차","164500","0","0.00","3.5148417E7"
"006400","삼성SDI","484500","-6500","-1.32","3.3316415E7"
"051910","LG화학","446000","-11000","-2.41","3.1484185E7"
"000270","기아","69600","800","1.16","2.8213289E7"
"068270","셀트리온","178500","-2000","-1.11","2.4625062E7"
"005490","POSCO","281500","-5500","-1.92","2.4543094E7"
"323410","카카오뱅크","50700","900","1.81","2.4090573E7"
"105560","KB금융","57100","1300","2.33","2.3545327E7"
"028260","삼성물산","114500","0","0.00","2.1398571E7"
"066570","LG전자","123000","1000","0.82","2.0128681E7"
"055550","신한지주","38150","500","1.33","1.9708273E7"
"012330","현대모비스","205500","0","0.00","1.9434771E7"
"096770","SK이노베이션","196000","500","0.26","1.8123251E7"
"377300","카카오페이","135500","-500","-0.37","1.7908908E7"
"034730","SK","235000","-2500","-1.05","1.7425092E7"
"011200","HMM","33650","-850","-2.46","1.6456179E7"
"015760","한국전력","24450","-100","-0.41","1.5696022E7"
"086790","하나금융지주","47450","1050","2.26","1.4246486E7"
"034020","두산중공업","22950","-400","-1.71","1.3887696E7"
"259960","크래프톤","279000","-2000","-0.71","1.3691101E7"
"051900","LG생활건강","849000","8000","0.95","1.3259849E7"
"017670","SK텔레콤","58500","-800","-1.35","1.2801739E7"
"032830","삼성생명","60200","200","0.33","1.204E7"
"352820","하이브","281000","-4000","-1.40","1.1620302E7"
"009150","삼성전기","151000","-1000","-0.66","1.1278748E7"
"033780","KT&G","80900","-400","-0.49","1.1106963E7"
"010130","고려아연","590000","0","0.00","1.11333E7"
"003550","LG","71100","-1300","-1.80","1.1184101E7"
"302440","SK바이오사이언스","140500","-6500","-4.42","1.074825E7"
"018260","삼성에스디에스","138500","-500","-0.36","1.0716825E7"
"316140","우리금융지주","14400","150","1.05","1.0484072E7"
"003490","대한항공","29550","850","2.96","1.0278105E7"
"329180","현대중공업","112000","-1500","-1.32","9942589.0"
"036570","엔씨소프트","438000","-6500","-1.46","9615862.0"
"251270","넷마블","108000","2000","1.89","9282978.0"
"010950","S-Oil","82900","-2600","-3.04","9333113.0"
"090430","아모레퍼시픽","155000","1000","0.65","9066378.0"
"000810","삼성화재","184500","0","0.00","8740657.0"
"030200","KT","33150","350","1.07","8655856.0"
"011070","LG이노텍","343500","4000","1.18","8129651.0"
"024110","기업은행","10550","0","0.00","7852371.0"
"361610","SK아이이테크놀로지","107500","-1000","-0.92","7664491.0"
"003670","포스코케미칼","97800","-1100","-1.11","7575903.0"
"402340","SK스퀘어","51900","-300","-0.57","7342167.0"
"326030","SK바이오팜","88200","-100","-0.11","6907229.0"
"011170","롯데케미칼","201000","0","0.00","6889359.0"
"034220","LG디스플레이","18850","300","1.62","6744826.0"
"009830","한화솔루션","34650","-600","-1.70","6627800.0"
"009540","한국조선해양","90900","-2000","-2.15","6433276.0"
"086280","현대글로비스","168000","0","0.00","6300000.0"
"018880","한온시스템","11400","-100","-0.87","6085320.0"
"032640","LG유플러스","14000","50","0.36","6112559.0"
"035250","강원랜드","27600","50","0.18","5904758.0"
"000720","현대건설","48850","-600","-1.21","5439729.0"
"028050","삼성엔지니어링","27300","-550","-1.97","5350800.0"
"097950","CJ제일제당","341500","-2000","-0.58","5141005.0"
"004020","현대제철","38650","-850","-2.15","5157680.0"
"006800","미래에셋증권","8180","-30","-0.37","5033288.0"
"010140","삼성중공업","5660","-140","-2.41","4980800.0"
"021240","코웨이","66900","800","1.21","4937195.0"
"011790","SKC","126000","0","0.00","4771406.0"
"011780","금호석유","150000","-1500","-0.99","4544377.0"
"138040","메리츠금융지주","32900","1150","3.62","4408972.0"
"071050","한국금융지주","75800","-300","-0.39","4224030.0"
"000100","유한양행","58100","400","0.69","4254749.0"
"003410","쌍용C&E","8080","-10","-0.12","4071186.0"
"006360","GS건설","47450","-750","-1.56","4060842.0"
"005830","DB손해보험","59000","500","0.85","4177200.0"
"267250","현대중공업지주","51700","-1000","-1.90","4083942.0"
"161390","한국타이어앤테크놀로지","33000","-150","-0.45","4087877.0"
"028670","팬오션","7340","-240","-3.17","3923740.0"
"241560","두산밥캣","38800","-400","-1.02","3889668.0"
"008560","메리츠증권","5680","-40","-0.70","3872230.0"
"078930","GS","40300","-550","-1.35","3744490.0"
"036460","한국가스공사","41250","-900","-2.14","3807911.0"
"029780","삼성카드","31900","-100","-0.31","3695899.0"
"139480","이마트","136000","-500","-0.37","3791111.0"
"020150","일진머티리얼즈","82800","-200","-0.24","3817977.0"
"047810","한국항공우주","37650","-950","-2.46","3669938.0"
"180640","한진칼","52700","400","0.76","3518319.0"
"016360","삼성증권","40900","-250","-0.61","3652370.0"
"002790","아모레G","42900","-250","-0.58","3537456.0"
"005940","NH투자증권","11400","100","0.88","3386186.0"
"052690","한전기술","91300","-1600","-1.72","3489486.0"
"004990","롯데지주","30900","-300","-0.96","3241695.0"
"128940","한미약품","267000","2500","0.95","3288898.0"
"271560","오리온","82000","900","1.11","3241963.0"
"010620","현대미포조선","81000","-2400","-2.88","3235314.0"
"047040","대우건설","7250","-50","-0.68","3013264.0"
"008770","호텔신라","78700","-800","-1.01","3088827.0"
"272210","한화시스템","15950","-150","-0.93","3013264.0"
"282330","BGF리테일","173500","2500","1.46","2998758.0"
"000120","CJ대한통운","134500","-3000","-2.18","3068260.0"
"000990","DB하이텍","68600","300","0.44","3045743.0"
"008930","한미사이언스","41300","-500","-1.20","2834158.0"
"002380","KCC","328000","-1500","-0.46","2914762.0"
"007070","GS리테일","28050","100","0.36","2937338.0"
"026960","동서","26100","150","0.58","2602170.0"
"047050","포스코인터내셔널","21750","100","0.46","2683409.0"
"000080","하이트진로","37200","50","0.13","2608970.0"
"042660","대우조선해양","24400","-600","-2.40","2617892.0"
"010060","OCI","112500","-1000","-0.88","2683054.0"
"336260","두산퓨얼셀","39750","50","0.13","2603376.0"
"012450","한화에어로스페이스","52700","-2000","-3.66","2668201.0"
"001450","현대해상","29750","750","2.59","2659650.0"
"112610","씨에스윈드","62600","-2400","-3.69","2639930.0"
"004170","신세계","256000","-500","-0.19","2520366.0"
"012750","에스원","67700","-700","-1.02","2572544.0"
"023530","롯데쇼핑","89900","-300","-0.33","2543159.0"
"030000","제일기획","22100","0","0.00","2542411.0"
"039490","키움증권","95800","-300","-0.31","2511829.0"
"088350","한화생명","2930","15","0.51","2544793.0"
"138930","BNK금융지주","7640","30","0.39","2490145.0"
"375500","DL이앤씨","134000","-2000","-1.47","2594071.0"
"001040","CJ","80000","0","0.00","2334160.0"
"000880","한화","30500","100","0.33","2286241.0"
"006280","녹십자","188000","2000","1.08","2197069.0"
"009240","한샘","90100","3300","3.80","2120407.0"
"298050","효성첨단소재","483500","-9000","-1.83","2166055.0"
"064350","현대로템","19200","-100","-0.52","2095532.0"
"298020","효성티앤씨","478500","-4000","-0.83","2070796.0"
"014680","한솔케미칼","197000","-1000","-0.51","2233033.0"
"000150","두산","124500","-3000","-2.35","2057217.0"
"004000","롯데정밀화학","79400","1300","1.66","2048520.0"
"019170","신풍제약","38800","2050","5.58","2055818.0"
"051600","한전KPS","43750","150","0.34","1968750.0"
"285130","SK케미칼","113500","-1500","-1.30","1999959.0"
"081660","휠라홀딩스","33300","950","2.94","2023049.0"
"111770","영원무역","46150","2300","5.25","2044974.0"
"204320","만도","43350","800","1.88","2035591.0"
"069620","대웅제약","164000","2000","1.23","1900198.0"
"003090","대웅","31500","-50","-0.16","1831472.0"
"004370","농심","286000","1000","0.35","1739636.0"
"069960","현대백화점","77200","100","0.13","1806668.0"
